IID PC1 PC2 PC3 PC4 PC5 POPULATION
tsk_0 16.919594 -0.55871725 2.1027114 1.2026901 -1.4883258 MAN
tsk_10 -5.2287087 -1.7784563 4.423241 -2.5313263 -0.18994544 BAS
tsk_15 16.08932 -3.5658622 1.6035995 -0.65219223 3.207413 MAN
tsk_16 15.593337 -1.1727849 1.0352343 -1.2228179 -0.9165806 MAN
tsk_19 15.341896 -1.8446748 -2.3119857 1.6163706 -3.6906388 MAN
tsk_25 16.175512 -0.13772255 -2.4694712 1.000202 2.861169 MAN
tsk_26 16.785707 -0.63420045 1.161941 -1.9672015 2.648884 MAN
tsk_27 16.504318 0.55479944 0.13199319 -0.952737 3.461574 MAN
tsk_29 17.681944 -1.0220025 0.38649997 0.9512896 -1.4686427 MAN
tsk_45 16.56123 -0.7741572 0.09322794 0.4157769 6.2537546 MAN
tsk_47 16.194208 1.6089188 -0.00038574095 -0.40052295 1.9584708 MAN
tsk_49 15.284836 0.31038097 0.0023755375 0.5909098 1.0641887 MAN
tsk_51 -2.6619463 -0.1798757 -2.8530903 6.5182676 -0.29048598 PTH
tsk_56 13.846401 -1.5635391 3.0333989 0.020798264 -1.9964505 MAN
tsk_60 -1.7153412 10.236014 -2.240198 6.5387936 -1.8331556 HZP
tsk_65 16.769943 -0.23126075 0.9724613 0.6582653 1.6726596 MAN
tsk_67 -1.0635108 12.215371 0.69920313 -1.1514623 -0.15026256 HZP
tsk_68 -0.62012535 4.7235336 2.1303627 1.8695556 3.7266204 HZP
tsk_76 -4.4662967 -0.097850345 1.8613639 -3.001011 1.5822054 ADY
tsk_83 -2.60904 -5.989732 -3.870085 -1.229045 -6.892676 MZB
tsk_88 -4.687101 2.4824297 5.1336513 0.977452 3.1873581 PTH
tsk_93 -5.9974914 5.4597597 3.8428707 6.1043825 0.79302543 KLS
tsk_97 -6.2094455 1.842928 13.828007 2.1053174 -0.94218975 KLS
tsk_99 -4.7771406 2.571261 4.3561287 -0.8023415 1.9327481 ADY
tsk_101 -3.2451005 4.0211444 -0.43709677 4.10273 1.4647428 ADY
tsk_111 -3.00665 4.5553823 5.8492002 3.8295507 1.1688534 PTH
tsk_127 1.1137289 -5.0036945 -1.3624322 -0.87747544 -4.5539985 MZB
tsk_134 -1.763909 5.869915 -0.6537324 6.486797 -2.723182 HZP
tsk_146 2.6429822 -3.104354 1.3042148 -1.0380375 -4.5974946 MZB
tsk_153 -3.5024514 4.147849 9.57422 9.419991 -4.873797 KLS
tsk_178 16.378443 -2.177345 -0.11964582 -1.0985091 2.99521 MAN
tsk_272 -2.687393 8.870486 -1.9118012 5.367337 -1.3310951 HZP
tsk_276 -0.45957172 8.112437 -0.92077094 2.574288 -0.61149055 HZP
tsk_286 -0.2870558 8.319941 -2.6000934 4.5545125 2.1810293 HZP
tsk_287 -2.2816844 6.612028 3.6193352 -3.5270019 2.7219405 HZP
tsk_289 -1.4717792 7.6446033 -1.2759701 3.0744674 3.6177456 HZP
tsk_298 -4.081597 2.8303869 1.289573 2.5421016 -1.865016 HZP
tsk_329 -4.619351 3.762938 0.9214021 3.0543199 7.085896 PTH
tsk_332 -1.2814579 8.155789 -0.10949726 3.534123 -1.2297947 HZP
tsk_335 -2.0675895 3.6830096 -4.057402 2.5503662 4.290904 HZP
tsk_336 -5.660371 0.37401134 8.274632 5.72641 4.196404 KLS
tsk_342 -1.9869058 6.1982617 3.4076235 11.571053 -6.920615 KLS
tsk_344 -2.7906 2.971607 1.5898228 2.088258 0.66456395 PTH
tsk_349 -2.81894 -1.1897684 2.8980055 -0.09137348 4.2479086 PTH
tsk_350 -5.736712 0.9253932 10.903853 5.0265765 -4.8464856 KLS
tsk_354 -3.8957498 3.813132 2.219216 2.1348135 -4.1997433 PTH
tsk_355 -3.687191 -4.4086165 1.7017642 1.058869 -2.566835 BAS
tsk_359 -3.12942 0.068143405 2.436066 1.8916856 -1.6175758 PTH
tsk_364 -3.5201817 2.9562871 2.594837 2.4920955 0.10383921 PTH
tsk_365 -3.984566 4.811002 7.751705 3.551389 1.3657218 KLS
tsk_371 -5.0481486 0.99652654 -2.0817637 5.5386024 3.1443193 PTH
tsk_372 -4.2355456 0.9353523 1.8130182 10.141384 3.2017846 KLS
tsk_375 -6.3768373 -5.3728137 -4.024762 -3.0817842 3.9408708 BAS
tsk_376 -4.4187746 1.1202614 2.2679298 1.1349804 2.2771997 PTH
tsk_377 -1.7313176 6.4858685 -2.5733912 2.4263253 1.6719042 PTH
tsk_378 -3.9339583 2.7293952 7.8539248 6.905409 0.7089323 KLS
tsk_379 -7.367352 3.6587899 12.414525 0.88829815 -0.86498225 KLS
tsk_381 -5.9509344 -4.6642966 -2.18807 -4.2115736 -0.9041599 BAS
tsk_385 -8.492097 -6.965396 -5.8645806 -0.26085788 13.226431 FRN
tsk_386 -7.8556333 -4.0531645 0.16887619 -0.5670027 0.72902423 FRN
tsk_395 -5.6114206 2.3644705 -1.174977 0.39443803 3.5988739 RUS
tsk_397 -5.128358 1.9102529 10.814176 4.9932675 -1.5826201 KLS
tsk_399 -3.2677462 4.372876 -1.9073122 8.703766 0.9013275 PTH
tsk_400 -3.9118536 2.7276437 -0.9340685 -1.3695259 1.8320521 RUS
tsk_402 -4.3382998 0.8321922 -1.7874441 8.1027 1.9387957 PTH
tsk_403 -4.720941 1.5921358 7.190443 1.3171959 1.183835 KLS
tsk_405 -6.781864 -0.13551709 7.812681 -4.937897 0.5371738 FRN
tsk_406 -5.3624306 -4.282569 6.5106354 -6.4707537 3.1662903 FRN
tsk_409 -5.301908 -7.597992 -4.5315013 -2.404862 3.592858 BAS
tsk_413 -5.4927545 -1.6089994 0.39029863 -4.777501 6.4440265 RUS
tsk_414 -6.083948 -0.5715537 3.9296007 -5.9507647 3.6107757 FRN
tsk_415 -5.8306417 -2.791429 -4.150487 4.938234 5.526743 RUS
tsk_416 -6.8574357 -2.98354 -5.750741 4.221005 1.9934621 RUS
tsk_417 -5.231986 -5.2594414 -4.1430387 5.12265 -1.560171 FRN
tsk_418 -5.8829637 -5.503987 -2.0431073 -3.3939826 -2.8880162 BAS
tsk_419 -6.0407495 -3.2388802 -1.5690331 1.5799177 -1.405134 FRN
tsk_420 -6.1279545 1.0805607 6.525493 -4.4477262 0.6338904 FRN
tsk_422 -3.5916865 2.2396042 2.2072833 -0.018018559 -1.3677703 ADY
tsk_424 -3.714366 5.257976 -2.441269 6.9796863 2.3749642 ADY
tsk_425 -7.029538 0.16249578 0.65470654 -4.315095 5.0835104 RUS
