IID,POPULATION,CONTINENT
tsk_461,ADY,ASI
tsk_101,ADY,ASI
tsk_424,ADY,ASI
tsk_76,ADY,ASI
tsk_468,ADY,ASI
tsk_502,ADY,ASI
tsk_430,ADY,ASI
tsk_99,ADY,ASI
tsk_466,ADY,ASI
tsk_459,ADY,ASI
tsk_491,ADY,ASI
tsk_456,ADY,ASI
tsk_471,ADY,ASI
tsk_422,ADY,ASI
tsk_409,BAS,EUR
tsk_375,BAS,EUR
tsk_381,BAS,EUR
tsk_431,BAS,EUR
tsk_355,BAS,EUR
tsk_449,BAS,EUR
tsk_418,BAS,EUR
tsk_535,BAS,EUR
tsk_503,BAS,EUR
tsk_10,BAS,EUR
tsk_693,BAS,EUR
tsk_704,BAS,EUR
tsk_683,BAS,EUR
tsk_767,BAS,EUR
tsk_464,BAS,EUR
tsk_718,BAS,EUR
tsk_638,BAS,EUR
tsk_611,BAS,EUR
tsk_749,BAS,EUR
tsk_2620,CEU,EUR
tsk_2635,CEU,EUR
tsk_2640,CEU,EUR
tsk_2651,CEU,EUR
tsk_2655,CEU,EUR
tsk_2656,CEU,EUR
tsk_2661,CEU,EUR
tsk_2666,CEU,EUR
tsk_2679,CEU,EUR
tsk_2709,CEU,EUR
tsk_1316,CLM,AMR
tsk_1350,CLM,AMR
tsk_1382,CLM,AMR
tsk_1383,CLM,AMR
tsk_1389,CLM,AMR
tsk_1395,CLM,AMR
tsk_1415,CLM,AMR
tsk_1418,CLM,AMR
tsk_1422,CLM,AMR
tsk_2073,ESN,AFR
tsk_2074,ESN,AFR
tsk_2078,ESN,AFR
tsk_2085,ESN,AFR
tsk_2148,ESN,AFR
tsk_2149,ESN,AFR
tsk_2155,ESN,AFR
tsk_2158,ESN,AFR
tsk_2160,ESN,AFR
tsk_2169,ESN,AFR
tsk_2180,ESN,AFR
tsk_2183,ESN,AFR
tsk_2204,ESN,AFR
tsk_2205,ESN,AFR
tsk_2206,ESN,AFR
tsk_2210,ESN,AFR
tsk_2211,ESN,AFR
tsk_2218,ESN,AFR
tsk_2227,ESN,AFR
tsk_2281,ESN,AFR
tsk_420,FRN,EUR
tsk_406,FRN,EUR
tsk_414,FRN,EUR
tsk_483,FRN,EUR
tsk_452,FRN,EUR
tsk_444,FRN,EUR
tsk_474,FRN,EUR
tsk_437,FRN,EUR
tsk_405,FRN,EUR
tsk_432,FRN,EUR
tsk_434,FRN,EUR
tsk_419,FRN,EUR
tsk_417,FRN,EUR
tsk_442,FRN,EUR
tsk_440,FRN,EUR
tsk_435,FRN,EUR
tsk_385,FRN,EUR
tsk_441,FRN,EUR
tsk_455,FRN,EUR
tsk_386,FRN,EUR
tsk_276,HZP,ASI
tsk_272,HZP,ASI
tsk_557,HZP,ASI
tsk_60,HZP,ASI
tsk_298,HZP,ASI
tsk_67,HZP,ASI
tsk_335,HZP,ASI
tsk_286,HZP,ASI
tsk_289,HZP,ASI
tsk_332,HZP,ASI
tsk_287,HZP,ASI
tsk_134,HZP,ASI
tsk_560,HZP,ASI
tsk_584,HZP,ASI
tsk_526,HZP,ASI
tsk_68,HZP,ASI
tsk_545,HZP,ASI
tsk_1452,IBS,EUR
tsk_1453,IBS,EUR
tsk_1455,IBS,EUR
tsk_1463,IBS,EUR
tsk_1499,IBS,EUR
tsk_1500,IBS,EUR
tsk_1522,IBS,EUR
tsk_1531,IBS,EUR
tsk_1533,IBS,EUR
tsk_1534,IBS,EUR
tsk_1536,IBS,EUR
tsk_1538,IBS,EUR
tsk_1546,IBS,EUR
tsk_1550,IBS,EUR
tsk_1797,IBS,EUR
tsk_776,KLS,ASI
tsk_372,KLS,ASI
tsk_93,KLS,ASI
tsk_777,KLS,ASI
tsk_336,KLS,ASI
tsk_97,KLS,ASI
tsk_378,KLS,ASI
tsk_397,KLS,ASI
tsk_748,KLS,ASI
tsk_350,KLS,ASI
tsk_589,KLS,ASI
tsk_403,KLS,ASI
tsk_619,KLS,ASI
tsk_342,KLS,ASI
tsk_365,KLS,ASI
tsk_153,KLS,ASI
tsk_559,KLS,ASI
tsk_379,KLS,ASI
tsk_562,KLS,ASI
tsk_15,MAN,AFR
tsk_56,MAN,AFR
tsk_680,MAN,AFR
tsk_25,MAN,AFR
tsk_27,MAN,AFR
tsk_602,MAN,AFR
tsk_49,MAN,AFR
tsk_29,MAN,AFR
tsk_573,MAN,AFR
tsk_751,MAN,AFR
tsk_19,MAN,AFR
tsk_178,MAN,AFR
tsk_47,MAN,AFR
tsk_16,MAN,AFR
tsk_0,MAN,AFR
tsk_26,MAN,AFR
tsk_45,MAN,AFR
tsk_65,MAN,AFR
tsk_2115,MSL,AFR
tsk_2116,MSL,AFR
tsk_2118,MSL,AFR
tsk_2120,MSL,AFR
tsk_2124,MSL,AFR
tsk_2126,MSL,AFR
tsk_2132,MSL,AFR
tsk_2136,MSL,AFR
tsk_2138,MSL,AFR
tsk_2186,MSL,AFR
tsk_2188,MSL,AFR
tsk_2232,MSL,AFR
tsk_2235,MSL,AFR
tsk_2244,MSL,AFR
tsk_2251,MSL,AFR
tsk_2253,MSL,AFR
tsk_2259,MSL,AFR
tsk_2266,MSL,AFR
tsk_2292,MSL,AFR
tsk_3137,MXL,AMR
tsk_3140,MXL,AMR
tsk_3145,MXL,AMR
tsk_3163,MXL,AMR
tsk_3168,MXL,AMR
tsk_3169,MXL,AMR
tsk_3175,MXL,AMR
tsk_3184,MXL,AMR
tsk_3186,MXL,AMR
tsk_3193,MXL,AMR
tsk_3199,MXL,AMR
tsk_3201,MXL,AMR
tsk_641,MZB,AFR
tsk_146,MZB,AFR
tsk_127,MZB,AFR
tsk_83,MZB,AFR
tsk_752,MZB,AFR
tsk_635,MZB,AFR
tsk_757,MZB,AFR
tsk_778,MZB,AFR
tsk_759,MZB,AFR
tsk_795,MZB,AFR
tsk_794,MZB,AFR
tsk_616,MZB,AFR
tsk_577,MZB,AFR
tsk_672,MZB,AFR
tsk_707,MZB,AFR
tsk_598,MZB,AFR
tsk_799,MZB,AFR
tsk_756,MZB,AFR
tsk_682,MZB,AFR
tsk_1631,PEL,AMR
tsk_1646,PEL,AMR
tsk_1660,PEL,AMR
tsk_1662,PEL,AMR
tsk_1733,PEL,AMR
tsk_1809,PEL,AMR
tsk_1823,PEL,AMR
tsk_88,PTH,ASI
tsk_51,PTH,ASI
tsk_111,PTH,ASI
tsk_785,PTH,ASI
tsk_349,PTH,ASI
tsk_402,PTH,ASI
tsk_376,PTH,ASI
tsk_329,PTH,ASI
tsk_724,PTH,ASI
tsk_344,PTH,ASI
tsk_530,PTH,ASI
tsk_359,PTH,ASI
tsk_371,PTH,ASI
tsk_354,PTH,ASI
tsk_527,PTH,ASI
tsk_399,PTH,ASI
tsk_528,PTH,ASI
tsk_364,PTH,ASI
tsk_591,PTH,ASI
tsk_377,PTH,ASI
tsk_1242,PUR,AMR
tsk_1263,PUR,AMR
tsk_1267,PUR,AMR
tsk_1282,PUR,AMR
tsk_1324,PUR,AMR
tsk_1328,PUR,AMR
tsk_1329,PUR,AMR
tsk_1331,PUR,AMR
tsk_1333,PUR,AMR
tsk_395,RUS,ASI
tsk_413,RUS,ASI
tsk_481,RUS,ASI
tsk_454,RUS,ASI
tsk_451,RUS,ASI
tsk_463,RUS,ASI
tsk_476,RUS,ASI
tsk_428,RUS,ASI
tsk_479,RUS,ASI
tsk_465,RUS,ASI
tsk_447,RUS,ASI
tsk_472,RUS,ASI
tsk_485,RUS,ASI
tsk_467,RUS,ASI
tsk_473,RUS,ASI
tsk_416,RUS,ASI
tsk_425,RUS,ASI
tsk_415,RUS,ASI
tsk_426,RUS,ASI
tsk_400,RUS,ASI
tsk_564,SAR,EUR
tsk_514,SAR,EUR
tsk_620,SAR,EUR
tsk_505,SAR,EUR
tsk_482,SAR,EUR
tsk_610,SAR,EUR
tsk_523,SAR,EUR
tsk_787,SAR,EUR
tsk_572,SAR,EUR
tsk_797,SAR,EUR
tsk_494,SAR,EUR
tsk_497,SAR,EUR
tsk_579,SAR,EUR
tsk_524,SAR,EUR
tsk_581,SAR,EUR
tsk_536,SAR,EUR
tsk_621,SAR,EUR
tsk_480,SAR,EUR
tsk_531,SAR,EUR
tsk_694,SAR,EUR
