IID	PC1	PC2	PC3	PC4	PC5
tsk_0	-1.1938095	-1.1445183	-0.0034766952	1.1736443	-0.9965114
tsk_10	-1.2766002	-1.3011305	0.0998909	0.44540563	0.6880397
tsk_15	-1.1685876	-1.3817015	0.21913713	1.4017233	-1.0937395
tsk_16	-0.9279993	-1.168589	0.06234111	1.2240412	-1.1180519
tsk_19	-1.1684706	-1.1708715	0.021380013	0.6308273	-0.05383844
tsk_25	-1.2167158	-1.3257039	0.17900439	0.87551665	-0.17659754
tsk_26	-1.3507751	-0.53955543	1.5134649	0.7733972	-0.99900633
tsk_27	-1.3154001	0.5019485	2.2644928	0.7838937	-0.631125
tsk_29	-1.2677381	-1.0139136	-0.118570685	0.86927545	-0.18393527
tsk_45	6.200556	-0.6967702	0.3779391	1.7836182	-0.5517188
tsk_47	1.7762855	-1.0699912	0.40556902	1.1765394	-0.66085726
tsk_49	2.7917345	-0.76620686	0.18081684	1.6671942	-0.8373385
tsk_51	-0.86393523	-1.1728578	0.0318136	-0.5046316	0.052238286
tsk_56	-1.136927	-0.9864965	0.63955176	0.6906574	-0.26959708
tsk_60	3.1330307	-0.53230286	0.26876736	-1.8591017	-0.76720524
tsk_65	2.8373737	-0.4820183	0.63414997	0.7988373	-0.37603912
tsk_67	6.62932	-0.577845	-0.11607809	-0.48822877	0.6319349
tsk_68	7.0496516	-0.29211962	-0.08454485	-0.19841263	0.68499756
tsk_76	-1.1158237	-1.3879285	0.04256906	-0.8918916	0.3995832
tsk_83	-1.2464968	-1.406407	0.165391	0.16030566	-0.48868698
tsk_88	-1.2623522	0.28210956	1.8402158	-0.5017072	-0.61019635
tsk_93	3.0783508	-0.87513393	-0.044784375	-1.7589797	-0.7097349
tsk_97	-1.0103849	-1.0532905	-0.40442064	-2.159283	-1.8566531
tsk_99	-1.1557611	-1.1193861	-0.100231975	-0.14670247	1.0750504
tsk_101	2.194257	-0.86406267	0.024702897	0.37933543	1.0212147
tsk_111	3.5089836	-0.62915796	0.3352333	-1.3626084	-0.735569
tsk_127	-1.224198	-1.1844095	-0.014817208	0.7128127	0.5802738
tsk_134	3.4832387	-0.7532971	-0.09052954	-0.1193813	0.71585155
tsk_146	-1.2838812	-1.1282344	-0.044019308	0.54939514	-0.24368401
tsk_153	-0.784025	-1.654121	-0.06420137	-3.3734882	-3.0171301
tsk_178	-1.2818848	-0.80080616	-0.12829126	1.6962769	-1.0793239
tsk_272	7.2712955	-0.6160083	-0.10956923	-0.8813764	-0.52655286
tsk_276	3.3005655	-0.63279885	-0.14826861	-0.9276905	-0.023951212
tsk_286	7.2006435	-0.25553063	-0.25726467	-0.23730484	0.99113345
tsk_287	2.462378	-0.94951254	-0.029418603	0.22428824	0.44478416
tsk_289	3.327031	-0.50564474	-0.12985176	-0.5128048	0.40529528
tsk_298	3.0754259	-0.948802	0.051404633	-0.6940421	0.21142131
tsk_329	-0.8444298	-0.39221895	0.73928565	-1.1027476	-0.42041686
tsk_332	7.1924114	-0.5999919	7.5857685E-4	-0.82003623	0.20631619
tsk_335	6.07185	1.2769759	2.02542	1.0629961	-0.42431265
tsk_336	-0.3754376	-1.2860214	0.055353343	-2.0324452	-0.65640706
tsk_342	-0.475345	-1.4251595	-0.1003596	-1.8433223	-0.73727345
tsk_344	-0.82957333	-1.3735745	0.0059050457	-1.3953483	-0.66141266
tsk_349	-1.1384265	1.572526	4.237028	-1.4432681	-0.14976066
tsk_350	-1.0438274	-1.4099828	-0.012665393	-1.4545493	-1.0888281
tsk_354	0.081672065	-1.0455072	-0.13584588	-0.5152305	0.14325598
tsk_355	2.8722324	-0.9984324	0.22455974	0.26763803	0.3857674
tsk_359	-1.0440573	-1.0974824	-0.30544272	-0.16844043	-0.26863894
tsk_364	2.6744888	-1.0897278	0.24683328	0.1312364	-0.103493795
tsk_365	3.5504293	-1.100233	0.22387518	-0.88013	-0.56618553
tsk_371	-1.0808482	-1.058944	-0.079552345	-0.942342	0.30849078
tsk_372	-0.97779137	-1.4150802	-0.06190205	-2.4120364	-1.1930584
tsk_375	-1.1121383	-1.3901045	0.17578734	-0.7735662	0.36518696
tsk_376	-1.1194096	-1.225749	-0.013697678	-0.45582652	-0.018807925
tsk_377	2.2790065	-1.1951694	0.28119087	0.27450788	0.7011248
tsk_378	2.346117	-1.1568459	0.1473069	-1.336742	-1.1240591
tsk_379	-1.0205543	-1.4366393	0.0018818922	-1.908483	-1.4580292
tsk_381	-1.0215751	-1.2889876	-0.010213997	-0.5642842	0.25781697
tsk_385	-1.1188443	-0.6575376	0.32736164	-2.1465113	0.045199007
tsk_386	-1.282604	-0.8400851	0.4839552	-0.1970788	0.8584976
tsk_395	-1.1132554	-0.9808036	-0.04684173	0.105055414	0.25099698
tsk_397	2.9904969	-1.2041969	0.18907543	-2.0252707	-1.1146799
tsk_399	-0.75559646	-1.6636605	0.269481	-0.74038684	-0.4135015
tsk_400	-1.2085576	-0.63882446	0.62788683	-0.14088662	0.6003273
tsk_402	2.7307422	-0.68340844	-0.15561156	0.05476121	0.15108128
tsk_403	2.9436576	-1.1106775	0.25279874	-0.45736465	0.079077125
tsk_405	2.1225767	-0.85219246	0.061084352	0.97566086	0.19489439
tsk_406	-1.2413495	-1.2568765	0.14231074	0.4075257	0.19435793
tsk_409	-1.2310042	-0.80869925	0.33797437	-0.26521993	0.4246437
tsk_413	-1.2749349	0.47208664	2.23293	-0.16481522	0.4118886
tsk_414	2.8172112	-0.41330117	0.29557565	-0.16226873	0.375688
tsk_415	-1.1712337	-0.8885465	-0.27211764	-0.40206933	-0.16787481
tsk_416	-1.1967235	-1.0309235	-0.07659103	-0.17940849	0.6995477
tsk_417	-1.249307	-1.0575315	-0.12606241	0.21702315	-0.026487065
tsk_418	-1.1682223	-0.9099597	0.2716142	-0.13323198	0.3406118
tsk_419	-1.1987958	-0.9508692	-0.2931502	-0.33147058	1.0196629
tsk_420	-1.1884573	-1.1991018	-0.043298297	-0.52364224	0.49071622
tsk_422	-1.1667782	-1.1626403	0.08661303	-0.20349403	0.5593335
tsk_424	2.7152913	-0.46893185	-0.13293359	0.2874943	0.9544169
tsk_425	2.4383671	-0.6987046	0.04553554	0.26637048	0.9041295
tsk_426	-1.1145025	-1.0136486	-0.17903416	-0.44868326	0.61443514
tsk_428	-1.288164	-0.7804621	-0.1289711	0.3860112	0.53492904
tsk_430	2.3473752	0.4603775	2.1380956	-0.19320457	0.795127
tsk_431	-1.2156794	-0.9641448	0.18839073	-0.04946395	0.42263553
tsk_432	-1.2410003	-1.3818351	0.13632543	0.54566896	0.18798451
tsk_434	-1.2136849	-0.07092355	1.5313084	-0.5156206	-0.05344102
tsk_435	-1.2062778	-0.9704853	-0.21147227	-0.1091688	0.7456265
tsk_437	-1.2247113	-0.82093465	0.18437283	-0.09934546	0.98763573
tsk_440	3.277844	-0.7386477	-0.14476867	-0.118847646	0.7187675
tsk_441	-1.2162397	-1.2592591	0.22680664	-0.3222123	0.9098839
tsk_442	-1.2297913	-0.87653035	0.50528204	-0.4313744	0.7848835
tsk_444	2.6872678	-0.5502059	0.08875731	0.62868166	-0.004428393
tsk_447	-1.1943754	-0.81467617	-0.23233192	-0.27682102	-0.122436695
tsk_449	-1.1951916	-0.811349	-0.30119234	0.10291053	0.87789834
tsk_451	-1.342344	0.6283886	1.9081931	-0.13470355	-0.16558178
tsk_452	-1.4712074	0.64800197	1.6357145	0.01141284	0.5096819
tsk_454	6.9629836	-0.2181757	-0.06089438	0.0045045563	0.95075285
tsk_455	-1.218474	-0.83469456	-0.33972016	-0.6814862	0.36941004
tsk_456	-1.1323428	-0.9709738	-0.16572627	-0.19090043	1.075043
tsk_459	-1.1584475	-1.357689	0.006821649	-1.2387246	0.32983068
tsk_461	-1.133583	-1.1289958	-0.06850124	-0.07438557	1.3161336
tsk_463	2.8918045	-0.51124036	-0.07874115	-0.11987676	0.6253506
tsk_464	-1.3116422	0.3161765	2.034033	-1.3239664	0.0952803
tsk_465	-1.2209628	-0.747689	-0.13923588	-0.9054801	0.6405283
tsk_466	-1.0149068	-1.0510418	-0.3176256	-1.1153463	0.84749323
tsk_467	-1.0737592	-1.4528928	0.28618115	-0.5254327	0.14437684
tsk_468	-1.0925626	-0.7640756	-0.09107283	0.2231719	0.44326246
tsk_471	-0.9297678	-1.0275903	0.10765438	-0.7418115	0.8641304
tsk_472	-1.1321821	-0.6794783	0.6183726	-0.43717793	0.6475432
tsk_473	3.1420515	-0.66787773	-0.077489145	0.26882508	0.068072416
tsk_474	-1.1986053	-1.1966206	0.048016015	0.14831717	0.48201793
tsk_476	-0.84112155	-0.7999618	-0.1324121	-0.08031183	0.4686146
tsk_479	-1.2049754	-0.83315325	-0.34026143	-0.61417454	0.40765232
tsk_480	-1.2103282	-1.1258298	0.10433505	-0.55370533	0.89832205
tsk_481	2.0544832	0.6593229	2.0775735	-1.2122117	-0.0012835902
tsk_482	-1.2700377	-1.3071109	0.22267383	0.15469776	1.3832054
tsk_483	-1.1283549	-1.1787773	-0.141802	0.07188999	0.41490573
tsk_485	-1.229664	-1.2465281	-0.007695596	-0.20744385	1.2579262
tsk_491	-1.032967	-0.9664355	-0.010040556	-1.0787923	0.7953295
tsk_494	-1.2806888	-0.76835746	0.1565026	0.6516228	0.072560094
tsk_497	-1.0944016	-1.2538029	0.045852285	-0.2951095	0.43240014
tsk_502	2.8942988	-0.4119388	-0.22022507	-0.37473407	0.7426671
tsk_503	-1.3337566	0.66771007	1.5950625	-0.15193543	0.27359733
tsk_505	-1.1761291	-1.4304711	0.047533575	-0.5563353	0.47094336
tsk_514	-1.2333686	-1.2028347	0.029919667	0.1090374	1.5935366
tsk_523	-1.3196342	-0.32570258	1.4150612	-0.085197635	0.84851706
tsk_524	-1.1135086	-1.251097	0.05067932	-0.038355105	0.9050049
tsk_526	-0.9985469	-1.3358464	0.011687016	-0.17554195	1.0278603
tsk_527	6.3273444	-0.48337924	0.037932545	0.5331823	-0.060601503
tsk_528	-1.2068048	-1.1924973	0.037485123	-0.19831906	0.56556153
tsk_530	-1.1174412	-0.981449	0.19095552	-0.5795726	0.25226492
