IID	PC1	PC2	PC3	PC4	PC5
tsk_0	0.73831975	0.5729823	-5.2160697	1.8361102	0.073720664
tsk_10	-1.5530522	1.7085025	-2.5169756	1.9421316	-0.46322265
tsk_15	3.2275603	0.50763994	-1.7880809	0.69565284	0.36882305
tsk_16	2.0246127	-1.4314692	-1.7761364	1.080049	-1.5583309
tsk_19	2.5665255	0.2477422	-3.0922267	1.9818511	-0.7158691
tsk_25	2.7367253	-0.21834956	-3.4269845	-1.4220313	0.6179665
tsk_26	2.1915977	1.4225934	-1.2522352	-1.1706852	-0.16374108
tsk_27	4.2608256	-1.124014	-0.12693557	-0.9623949	-0.045612596
tsk_29	3.2292354	0.26434967	-2.4457402	-1.279817	0.38135862
tsk_45	1.4055352	0.70674926	-2.3060985	0.8208637	1.2056656
tsk_47	2.7653022	-0.09189836	-2.7025766	1.3408242	0.34508544
tsk_49	1.0195216	-0.2931928	-2.2464583	1.467497	-0.1660429
tsk_51	1.5727884	-1.4665483	0.3718924	-1.3650604	-1.1394603
tsk_56	3.7512758	-0.8985975	-0.522578	0.7388973	-0.8721196
tsk_60	-0.60362786	-2.7320294	1.1005064	1.2138302	1.1947591
tsk_65	3.1164677	0.50444067	-1.7365572	-1.9165614	-0.13095476
tsk_67	-0.62728626	2.3178878	-0.069932126	-0.31928724	1.4275542
tsk_68	1.3792529	2.5785754	0.14845133	-3.1509056	1.1983846
tsk_76	-1.293991	1.5026604	2.0787625	0.903078	1.031074
tsk_83	2.7388835	2.74756	4.4399123	0.13357809	-0.25221217
tsk_88	-2.2727506	-2.2283661	-0.09251453	-3.4984376	-2.0638227
tsk_93	-0.9993929	-0.6771794	1.6399913	-2.8675053	1.2942984
tsk_97	-0.690374	0.052986667	1.2132838	-2.1056464	1.2568153
tsk_99	0.18167692	1.4790189	0.8358497	-2.948747	-0.7757833
tsk_101	-1.5820158	-1.1838892	0.47262028	0.6627888	-0.87398523
tsk_111	0.78972286	0.072832935	1.3238071	0.3257686	1.103253
