IID	PC1	PC2	PC3	PC4	PC5
tsk_0	8.693038	1.9431002	-0.22808704	1.4824978	0.67960536
tsk_10	-3.2326548	1.8452504	1.2360114	1.7870774	0.582055
tsk_15	8.944367	2.0363684	1.9097551	1.8850837	-0.6243803
tsk_16	7.8746276	2.7531762	1.9572071	-0.6847588	1.1376969
tsk_19	7.0218873	1.4018253	-2.3907719	0.11759207	-2.09607
tsk_25	9.257658	-0.08890445	-1.0717007	-1.3020878	-0.10660707
tsk_26	9.95077	1.6882118	0.9829763	-0.9792511	-0.48711058
tsk_27	9.5372095	-1.6999297	-0.22075377	-2.127607	-0.7871912
tsk_29	10.131935	0.8493764	-1.2426064	0.30928084	-0.5800534
tsk_45	9.277584	0.44106552	0.60980594	-0.77996504	-0.34836492
tsk_47	9.124241	-0.44497076	1.1129001	-1.1658155	0.26472282
tsk_49	8.404576	-0.93015456	0.1468399	-0.118683904	-0.9744133
tsk_51	-1.4921874	-1.1706214	-5.0700936	4.47524	0.56916404
tsk_56	6.949167	1.4400213	1.0341179	3.062272	-0.974035
tsk_60	-0.14437258	-7.2232757	-1.6160972	-0.8830888	2.4024787
tsk_65	9.508764	-1.8078376	0.47767803	-1.0792326	-0.652547
tsk_67	0.5640492	-6.2329826	3.6983123	-1.7224964	2.469935
tsk_68	0.8781979	-4.822239	2.334925	2.8453462	1.8191544
tsk_76	-2.6881118	0.34472668	0.8862424	-0.057302512	1.2571747
tsk_83	-1.1632333	-1.090555	-1.2161798	-0.14049014	-5.2342453
tsk_88	-2.5540218	0.11939376	0.6301093	2.9118674	0.8487553
tsk_93	-3.8760953	-3.8242157	0.44744405	1.6004714	-1.0675983
tsk_97	-4.961178	3.8328426	4.9901195	1.51136	0.7648002
tsk_99	-3.3080132	1.5628523	4.1949854	-0.42062563	4.569942
tsk_101	-1.3422171	-5.409563	-0.27093247	-2.0202572	1.2438643
tsk_111	-0.711177	-4.7040176	1.8901507	1.766846	-1.8371024
tsk_127	1.264264	-0.948699	0.24869543	2.1768904	-3.1511347
tsk_134	-1.1599965	-5.9109125	-0.8481077	-0.75262564	-0.4301267
tsk_146	0.15438952	2.3428857	-1.4079143	-2.0848322	-1.7412157
tsk_153	-1.1297427	-2.1662	0.8546112	-1.1548803	1.4877232
tsk_178	9.152139	0.81152934	1.6063712	-1.029389	-2.3641436
tsk_272	1.3578296	-6.644465	0.0928714	-1.7065339	0.18432204
tsk_276	1.0304509	-5.9544287	0.67041314	-1.5823344	2.8306828
tsk_286	0.7264045	-6.3154078	-1.127217	-0.9967905	0.12891848
tsk_287	-1.8889065	-0.66670513	5.327196	1.1579772	2.2744217
tsk_289	0.15974654	-3.8346684	0.40966046	-2.0969534	3.9468153
tsk_298	-2.6070654	-4.462349	-0.9784835	1.231109	0.32643655
tsk_329	-1.0432942	-3.315117	-1.5195976	1.6852384	-0.1425987
tsk_332	0.5801076	-5.832624	2.5061545	2.5856943	2.9552157
tsk_335	-0.54541516	-2.3546057	-1.7289629	1.0888288	1.3411345
tsk_336	-4.7632384	0.9944077	1.3649428	4.547423	0.8486083
tsk_342	1.1182551	-4.0680566	-1.7009795	1.1938429	0.023084814
tsk_344	-1.7752508	-0.90430886	-0.8989636	-0.031175865	1.0471377
tsk_349	-0.68997425	-1.1781988	0.43358767	4.3048143	5.0947757
tsk_350	-5.445904	0.46235535	3.090861	4.0270004	-1.1154231
tsk_354	-2.474255	-1.336261	0.692103	-2.629666	-0.26898837
tsk_355	-1.4224037	1.393666	-0.09806291	3.559766	1.093649
tsk_359	-2.1085484	-1.0471605	-0.63859993	3.1566067	-3.5659244
tsk_364	-0.7055334	-2.227546	2.2253404	-1.0976652	0.74988264
tsk_365	-1.742927	-3.7424788	3.2509003	4.242323	-2.3812306
tsk_371	-3.2263718	1.6535366	-3.777724	0.5088008	0.0047259904
tsk_372	-1.2745894	-1.4515021	-4.27069	4.5319476	0.3648991
tsk_375	-2.7229578	3.0413826	-3.4043605	0.8327606	1.7706426
tsk_376	-2.1733136	3.0534794	0.5557673	-1.2704092	0.8599304
tsk_377	-0.22256245	-2.8137965	-0.73575157	-1.3669766	0.5672867
tsk_378	-2.5641317	1.3513937	1.8148937	4.5447617	2.4438171
tsk_379	-6.310329	1.6605755	5.354146	1.8849564	0.35062322
tsk_381	-3.3287604	0.6862638	-0.31399176	-0.6139093	-3.568093
tsk_385	-5.0090394	5.793714	-2.6957707	-0.043389928	3.9927332
tsk_386	-3.313143	-1.1950488	0.093574725	1.5552034	-3.662971
tsk_395	-3.5416162	0.12702435	-1.6280916	0.38958296	0.75969
tsk_397	-4.298675	-2.1782172	4.188351	1.4919938	-1.348371
tsk_399	-1.2319933	-2.3547313	-2.0445874	-1.4339164	3.5988479
