frh1_final ADY.gz BAS.gz CEU.gz CLM.gz ESN.gz FRN.gz HZP.gz IBS.gz KLS.gz MAN.gz MSL.gz MXL.gz MZB.gz PEL.gz PTH.gz PUR.gz RUS.gz SAR.gz
157100 0.0714286 0 0 0 0.25 0.025 0 0 0 0.166667 0.0789474 0 0.368421 0.0714286 0 0.111111 0 0.05
555941 0.0357143 0 0 0 0.15 0 0 0 0 0.25 0.157895 0 0.0789474 0 0.025 0.333333 0 0
1122665 0.214286 0.342105 0 0.0555556 0.275 0.35 0.470588 0.0333333 0.289474 0.333333 0.447368 0.0416667 0.289474 0 0.675 0.0555556 0.225 0.225
1133805 0 0.0263158 0 0.166667 0.1 0.075 0.0588235 0.0333333 0 0.111111 0.236842 0.0416667 0.131579 0.285714 0.025 0.388889 0 0
1155610 0.0714286 0.0526316 0 0.166667 0.075 0.125 0.0588235 0.133333 0.0526316 0.111111 0.184211 0.0416667 0.157895 0.285714 0.05 0.444444 0.025 0.05
1156385 0.0714286 0.0526316 0 0.166667 0.075 0.125 0.0588235 0.133333 0.0526316 0.111111 0.184211 0.0416667 0.157895 0.285714 0.05 0.444444 0.025 0.05
1180284 0.964286 0.894737 0 0 0.725 0.775 0.911765 0 1 0.555556 0.842105 0 0.684211 0 0.775 0 0.825 0.925
1189552 0.0714286 0.0789474 0 0.166667 0.1 0.125 0.0588235 0.133333 0.0526316 0.138889 0.105263 0.0416667 0.184211 0.285714 0.05 0.444444 0.025 0.075
1193096 0.0714286 0.0789474 0 0.166667 0.1 0.125 0.0588235 0.133333 0.0526316 0.138889 0.105263 0.0416667 0.184211 0.285714 0.05 0.444444 0.025 0.075
1193777 0.0714286 0.0789474 0 0.166667 0.1 0.125 0.0588235 0.133333 0.0526316 0.138889 0.105263 0.0416667 0.184211 0.285714 0.05 0.444444 0.025 0.075
1200719 0.0714286 0.0789474 0 0 0.15 0.125 0.0588235 0.133333 0.0526316 0.138889 0.105263 0.0416667 0.184211 0 0.05 0.388889 0.025 0.075
1207699 0.0714286 0.0789474 0 0 0.1 0.125 0.0588235 0.133333 0.0526316 0.111111 0.105263 0.0416667 0.184211 0 0.05 0.388889 0.025 0.075
1210468 0.0714286 0.0789474 0 0 0.15 0.125 0.0588235 0.133333 0.0526316 0.138889 0.105263 0.0416667 0.184211 0 0.05 0.388889 0.025 0.075
1212517 0.0714286 0.0789474 0 0 0.15 0.125 0.0588235 0.133333 0.0526316 0.138889 0.105263 0.0416667 0.184211 0 0.05 0.388889 0.025 0.075
1215366 0.0714286 0.0789474 0 0 0.1 0.125 0.0588235 0.133333 0.0526316 0.111111 0.105263 0.0416667 0.184211 0 0.05 0.388889 0.025 0.075
2952548 0.428571 0.447368 0.4 0.277778 0.025 0.425 0.176471 0.333333 0.0263158 0 0.0526316 0.291667 0.421053 0.285714 0.125 0.277778 0.425 0.775
3067017 0 0.315789 0 0.111111 0.075 0.05 0 0.0333333 0.0263158 0.0833333 0 0.0416667 0.0526316 0.0714286 0.075 0 0.05 0.025
3646260 0.0714286 0.0263158 0.05 0.111111 0.025 0.05 0 0 0 0.0277778 0.0263158 0.0833333 0.342105 0 0 0.166667 0 0
3775373 0.142857 0 0 0.0555556 0.025 0.075 0.382353 0.0333333 0 0.0277778 0 0 0 0 0.025 0.0555556 0 0.075
3778135 0.142857 0 0 0.0555556 0.025 0.075 0.382353 0.0333333 0 0.0277778 0 0 0 0 0.025 0.0555556 0 0.075
4290330 0.0714286 0.0263158 0.05 0.166667 0 0.125 0.205882 0 0.105263 0 0 0.333333 0.157895 0.714286 0.05 0.111111 0.1 0.075
4458666 0.0357143 0 0 0.166667 0 0 0.176471 0.0333333 0.394737 0 0.0263158 0.0833333 0 0 0.125 0.0555556 0 0.05
4467608 0.0357143 0 0 0.166667 0 0.025 0.176471 0.1 0.394737 0 0 0.125 0.0263158 0 0.125 0 0 0.05
4468020 0.0357143 0 0 0.166667 0 0.025 0.176471 0.1 0.394737 0 0 0.125 0.0263158 0 0.125 0 0 0.05
4473544 0.0357143 0 0 0 0 0.025 0.147059 0.1 0.394737 0 0 0.0416667 0 0 0.125 0 0 0.05
4473879 0.0357143 0 0 0 0.1 0.025 0.147059 0.1 0.394737 0.111111 0 0.0416667 0 0 0.125 0 0 0.05
4476746 0.964286 1 1 1 0.9 0.975 0.852941 0.9 0.605263 0.888889 1 0.958333 1 1 0.875 1 1 0.95
4478878 0.0357143 0 0 0 0 0.025 0.147059 0.1 0.394737 0 0 0.0416667 0 0 0.125 0 0 0.05
4481666 0.0357143 0 0 0 0.1 0.025 0.147059 0.1 0.394737 0.111111 0 0.0416667 0 0 0.125 0 0 0.05
4487812 0.0357143 0 0 0 0.025 0.025 0.147059 0.1 0.394737 0 0.131579 0.0416667 0 0 0.075 0 0 0.05
4840235 0.892857 0.973684 0.8 0.888889 0.75 0.95 0.911765 0.733333 0.842105 0.944444 0.789474 0.833333 0.921053 0.928571 0.775 0.388889 0.975 0.925
4861876 0 0 0.05 0.0555556 0.05 0.05 0.117647 0.0333333 0.0263158 0.0833333 0.0263158 0.0833333 0.131579 0.571429 0.075 0 0.075 0.025
4873351 0.214286 0.236842 0.05 0.166667 0.05 0.325 0.0882353 0.533333 0.0526316 0.0277778 0 0.125 0.105263 0.0714286 0.025 0.222222 0.175 0.325
4880749 0.214286 0.236842 0.05 0.166667 0.05 0.325 0.0882353 0.533333 0.0526316 0.0277778 0 0.125 0.105263 0.0714286 0.025 0.222222 0.175 0.325
